district,district_alt,district_id,school,school_id,type_x,street,city,state,zip,gradespan,enrollment,hdphone,url,type_special,year,type_y,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,len_str,e_pct_abc,e_pct_ab,e_pct_cd,e_pct_f,m_pct_abc,m_pct_ab,m_pct_cd,m_pct_f,sc_pct_abc,sc_pct_ab,sc_pct_cd,sc_pct_f,act_avg_english_score,act_avg_reading_score,act_avg_math_score,act_avg_science_score,act_avg_writing_score,act_avg_composite_score,pct_act,pct_college,pct_career,pct_cte,pct_wbl,pct_car_rdy,pct_met_prog,gpercent_overall,gpercent_race_w,gpercent_race_b,gpercent_race_h,gpercent_race_i,gpercent_race_a,dropout_rate_curr_yr,tchreturn3yr_avg_pct_curr_yr,tchadvdegree_pct_curr_yr,tchinexperienced_pct_curr_yr,tchsalary_avg_curr_yr,prime_instruct_time_curr_yr,gifted_pct_curr_yr,pct78hs_credit_curr_yr,princ_super_yrs_curr_yr,tech_pct_class_wireless_curr_yr,tech_oneto_one_curr_yr,retained_pct_curr_yr,chronic_absenteeism_rate_x,studentsin_poverty_pct_curr_yr,expendfor_instruct_pct_curr_yr,admin_salary_curr_yr,total_ppe_curr_yr,chronic_absenteeism_rate_y,n_total_di,n_total_el,par_child_feels_safe,par_tch_stop_bully,par_num_responses,tch_i_feel_safe,tch_rules_enforced,tch_num_responses,ocr_firearm_num,ocr_rape,ocr_sex_assault,ocr_robw_weapon,ocr_robw_firearm,ocr_rob_no_weapon,ocr_phys_attachw_weapon,ocr_phys_attackw_firearm,ocr_phys_attach_no_weapon,ocr_threat_phys_attachw_weapon,ocr_threat_phys_attackw_firearm,ocr_threat_phys_attach_no_weapon,ocr_in_school_suspension,ocr_out_of_school_suspension,ocr_expelled,ocr_arrests_referrals,ocr_bully_harass,ocr_violent_all,ocr_nonviolent_all,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,gender_missing,pupils_in_poverty,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,lat,lon
Abbeville County School District,Abbeville 60,160999,Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,,2021,H,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,50.7,69.3,10.7,0.0,69.3,,89.333333333,87.5,-1.0,-1.0,,,0.8,86.7,59.1666666666667,21.4,51158.0030769231,,21.6,33.0,1.0,100.0,100.0,1.1,8.4,53.7,57.2,80294.0,,8.4,48.0,10.0,95.3,71.4,148.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,56.0,0.0,0.0,1.0,0.0,3.0,455,211,244,38,395,0.0,241.0,22,46.37362637362637,53.62637362637363,0.0,8.35164835164835,86.81318681318682,4.835164835164836,34.328243,-82.387977
Abbeville County School District,Abbeville 60,160999,Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,,2020,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.043478261,87.341772152,91.666666667,,-1.0,,0.9,86.7,51.6,0.0,50201.0,,22.0,62.6,9.0,100.0,100.0,2.8,11.5,53.4,55.5,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.0,1.0,0.0,0.0,432,212,220,40,376,0.0,,16,49.07407407407408,50.92592592592593,0.0,9.25925925925926,87.03703703703704,3.7037037037037033,34.328243,-82.387977
Abbeville County School District,Abbeville 60,160999,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,,2017,E,40.2,13.8,50.5,13.8,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49793.0,,3.4,,6.0,,,2.7,,88.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,91,110,134,66,,,1,45.27363184079602,54.72636815920397,,66.66666666666666,32.83582089552239,0.4975124378109453,34.103731350000004,-82.59765548642402
Abbeville County School District,Abbeville 60,160999,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,,2018,E,36.7,20.3,44.3,17.7,48.3,,20.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,93.3,0.0,49273.0,44.0,7.2,,7.0,100.0,0.0,1.8,1.1,86.56,,,,1.1,,,94.7,88.9,18.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,183,82,101,109,51,0.0,,23,44.80874316939891,55.19125683060109,0.0,59.56284153005464,27.86885245901639,12.568306010928962,34.103731350000004,-82.59765548642402
Abbeville County School District,Abbeville 60,160999,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,,2019,E,36.9,23.8,54.8,14.3,55.6,,7.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,94.9,93.3,0.0,52087.0,91.9,4.5,,8.0,100.0,0.0,4.5,13.1,88.44,,76236.0,11889.0,,,,95.9,83.3,24.0,95.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,177,74,103,104,53,0.0,,20,41.80790960451977,58.19209039548022,0.0,58.75706214689266,29.94350282485876,11.299435028248588,34.103731350000004,-82.59765548642402
Abbeville County School District,Abbeville 60,160999,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,,2021,E,31.7,28.0,35.4,22.0,39.1,,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6,92.8571428571429,0.0,52746.92,,1.2,,10.0,100.0,100.0,5.2,1.1,85.3,56.6,80294.0,,1.1,35.0,1.0,100.0,70.0,10.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,170,85,85,101,46,0.0,145.0,23,50.0,50.0,0.0,59.41176470588236,27.058823529411764,13.529411764705882,34.103731350000004,-82.59765548642402
Abbeville County School District,Abbeville 60,160999,John C. Calhoun Elementary School,160007,E,750 North Calhoun Shores Parkway,Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,,2020,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,92.9,0.0,54236.0,,4.8,,9.0,100.0,0.0,2.4,,84.3,60.6,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,177,79,98,106,47,0.0,,24,44.63276836158192,55.36723163841808,0.0,59.88700564971752,26.55367231638418,13.559322033898304,34.103731350000004,-82.59765548642402
Abbeville County School District,Abbeville 60,160999,Wright Middle School,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,,2017,M,58.4,12.7,58.0,13.0,68.9,9.6,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48001.0,,21.1,0.0,3.0,,,2.1,,69.2,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,196,177,179,182,,,12,52.54691689008043,47.45308310991957,,47.98927613941019,48.79356568364612,3.2171581769437,34.18642145,-82.40282005303362
Abbeville County School District,Abbeville 60,160999,Wright Middle School,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,,2018,M,51.5,15.0,62.9,13.1,70.7,,13.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,89.0,63.6,4.8,48903.0,92.3,18.5,0.0,4.0,100.0,56.00000000000001,0.5,9.4,70.44,,,,9.4,,,72.0,70.9,26.0,97.3,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,0.0,4.0,379,181,198,188,176,0.0,,15,47.75725593667546,52.242744063324544,0.0,49.6042216358839,46.437994722955146,3.95778364116095,34.18642145,-82.40282005303362
Abbeville County School District,Abbeville 60,160999,Wright Middle School,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,,2019,M,57.1,14.8,58.2,10.7,63.7,,15.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,89.0,68.8,0.0,52361.0,88.4,16.2,20.4,5.0,100.0,50.0,0.8,11.7,69.73,,76236.0,9834.0,,,,85.0,71.5,21.0,92.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,0.0,0.0,1.0,0.0,1.0,374,171,203,180,176,0.0,,18,45.72192513368984,54.27807486631016,0.0,48.1283422459893,47.05882352941176,4.81283422459893,34.18642145,-82.40282005303362
Abbeville County School District,Abbeville 60,160999,Wright Middle School,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,,2021,M,38.7,28.5,36.7,29.6,35.3,,40.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8,54.8387096774194,7.7,50610.1585185185,,17.5,20.5,1.0,100.0,100.0,2.4,7.4,76.4,67.1,80294.0,,7.4,40.0,9.0,64.3,39.3,28.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,90.0,0.0,0.0,0.0,0.0,0.0,383,175,208,185,178,0.0,297.0,20,45.69190600522193,54.30809399477808,0.0,48.30287206266319,46.47519582245431,5.221932114882506,34.18642145,-82.40282005303362
Abbeville County School District,Abbeville 60,160999,Wright Middle School,160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,,2020,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,70.6,0.0,53216.0,,15.6,11.4,1.0,100.0,60.0,2.1,10.4,73.2,67.7,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,72.0,0.0,0.0,3.0,0.0,3.0,385,173,212,185,180,0.0,,20,44.935064935064936,55.06493506493506,0.0,48.05194805194805,46.75324675324675,5.194805194805195,34.18642145,-82.40282005303362
Abbeville County School District,Abbeville 60,160999,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,,2017,E,51.6,16.3,69.3,7.6,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46911.0,,13.8,,3.0,,,1.1,,74.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,166,196,173,177,,,12,45.85635359116022,54.14364640883977,,47.79005524861879,48.89502762430939,3.314917127071823,no_result,no_result
Abbeville County School District,Abbeville 60,160999,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,,2018,E,45.7,19.3,65.5,10.1,52.5,,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,65.4,0.0,46621.0,85.8,14.0,,1.0,100.0,50.0,0.8,1.7,74.86,,,,1.7,,,85.7,51.2,44.0,100.0,92.9,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,361,171,190,172,170,0.0,,19,47.368421052631575,52.63157894736842,0.0,47.64542936288089,47.09141274238228,5.263157894736842,no_result,no_result
Abbeville County School District,Abbeville 60,160999,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,,2019,E,50.1,21.3,64.3,10.7,55.8,,23.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,85.7,61.5,33.3,48337.0,97.7,13.2,,2.0,50.0,50.0,0.3,11.8,76.84,,76236.0,8538.0,,,,83.0,58.5,41.0,73.9,95.6,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,356,168,188,165,171,0.0,,19,47.19101123595505,52.80898876404494,0.0,46.348314606741575,48.03370786516854,5.337078651685393,no_result,no_result
Abbeville County School District,Abbeville 60,160999,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,,2021,E,44.2,26.4,48.5,21.2,42.4,,29.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7,68.0,0.0,50953.1843478261,,5.1,,4.0,100.0,100.0,1.5,0.0,76.4,63.8,80294.0,,0.0,55.0,12.0,82.0,52.5,61.0,87.5,29.2,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,2.0,331,154,177,166,151,0.0,255.0,14,46.52567975830816,53.47432024169184,0.0,50.15105740181269,45.61933534743202,4.229607250755287,no_result,no_result
Abbeville County School District,Abbeville 60,160999,Westwood Elementary,160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,,2020,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,65.4,5.0,50575.0,,8.7,,3.0,100.0,100.0,1.7,0.0,75.9,68.5,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,17.0,32.0,0.0,0.0,2.0,0.0,8.0,345,168,177,174,158,0.0,,13,48.69565217391305,51.30434782608696,0.0,50.43478260869565,45.79710144927536,3.768115942028986,no_result,no_result
Abbeville County School District,Abbeville 60,160999,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,,2017,E,52.5,12.3,70.4,6.2,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49331.0,,9.8,,21.0,,,1.4,,56.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,211,237,52,390,,,6,47.098214285714285,52.90178571428571,,11.607142857142858,87.05357142857143,1.3392857142857142,34.3641167,-82.35564697187262
Abbeville County School District,Abbeville 60,160999,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,,2017,M,55.8,13.5,59.4,10.8,78.4,9.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49331.0,,9.8,0.0,21.0,,,1.4,,56.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,211,237,52,390,,,6,47.098214285714285,52.90178571428571,,11.607142857142858,87.05357142857143,1.3392857142857142,34.3641167,-82.35564697187262
Abbeville County School District,Abbeville 60,160999,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,,2018,E,51.2,10.8,62.0,6.0,60.9,,10.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4,71.4,15.8,49168.0,88.1,15.2,0.0,23.0,100.0,0.0,1.0,11.5,57.24,,,,11.5,,,86.8,71.8,39.0,100.0,93.3,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,0.0,3.0,432,208,224,43,379,0.0,,10,48.14814814814815,51.85185185185185,0.0,9.953703703703704,87.73148148148148,2.314814814814815,34.3641167,-82.35564697187262
Abbeville County School District,Abbeville 60,160999,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,,2018,M,53.2,10.8,69.4,9.9,71.7,,11.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,89.4,71.4,15.8,49168.0,88.1,15.2,0.0,23.0,100.0,0.0,1.0,11.5,57.24,,,,11.5,,,86.8,71.8,39.0,100.0,93.3,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,0.0,3.0,432,208,224,43,379,0.0,,10,48.14814814814815,51.85185185185185,0.0,9.953703703703704,87.73148148148148,2.314814814814815,34.3641167,-82.35564697187262
